ID,year,engine_cc,cylinder,valves_per_cylinder,power_ps,torque_nm,engine_compression,doors,hwy,mixed,city,fuel_cap_l
69548,2016,2000,4.0,4.0,148.0,145.0,10,4.0,32.0,28.0,25.0,17.0
69549,2016,2000,4.0,4.0,148.0,145.0,10,4.0,30.0,27.0,24.0,16.0
69566,2001,2401,5.0,4.0,163.0,350.0,18.0:1,4.0,6.1,12.0,7.8,80.0
69567,2001,2922,6.0,4.0,272.0,380.0,8.5:1,4.0,8.4,11.3,16.3,80.0
69595,2007,5357,8.0,2.0,319.0,458.0,9.4:1,4.0,10.7,13.1,14.7,129.0
69696,2016,2400,4.0,4.0,184.0,171.0,10,4.0,31.0,25.0,22.0,16.0
69697,2016,2400,4.0,4.0,184.0,171.0,10,4.0,28.0,24.0,21.0,16.0
69698,2016,2400,4.0,4.0,184.0,171.0,10,4.0,31.0,25.0,22.0,16.0
69699,2016,2400,4.0,4.0,184.0,171.0,10,4.0,28.0,24.0,21.0,16.0
69700,2016,2400,4.0,4.0,184.0,171.0,10,4.0,31.0,25.0,22.0,16.0
69701,2016,2400,4.0,4.0,184.0,171.0,10,4.0,28.0,24.0,21.0,16.0
69702,2016,2400,4.0,4.0,184.0,171.0,10,4.0,25.0,22.0,19.0,16.0
69703,2016,2000,4.0,4.0,158.0,141.0,10.5,4.0,27.0,24.0,22.0,14.0
69704,2016,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69705,2016,2000,4.0,4.0,158.0,141.0,10.5,4.0,27.0,24.0,22.0,14.0
69706,2016,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69707,2016,2000,4.0,4.0,158.0,141.0,10.5,4.0,27.0,24.0,22.0,14.0
69708,2016,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69709,2016,2400,4.0,4.0,172.0,165.0,10.5,4.0,28.0,24.0,21.0,14.0
69710,2016,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69711,2016,2000,4.0,4.0,158.0,141.0,10.5,4.0,30.0,26.0,23.0,14.0
69712,2016,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,24.0,22.0,14.0
69713,2016,3600,6.0,4.0,290.0,260.0,10.2,4.0,25.0,20.0,17.0,25.0
69714,2016,3600,6.0,4.0,290.0,260.0,10.2,4.0,24.0,19.0,17.0,25.0
69715,2016,3600,6.0,4.0,290.0,260.0,10.2,4.0,25.0,20.0,17.0,25.0
69716,2016,3600,6.0,4.0,290.0,260.0,10.2,4.0,24.0,19.0,17.0,25.0
69717,2016,3600,6.0,4.0,290.0,260.0,10.2,4.0,25.0,20.0,17.0,25.0
69718,2016,3600,6.0,4.0,290.0,260.0,10.2,4.0,24.0,19.0,17.0,25.0
69719,2016,3600,6.0,4.0,290.0,260.0,10.2,4.0,25.0,20.0,17.0,25.0
69720,2016,3600,6.0,4.0,290.0,260.0,10.2,4.0,24.0,19.0,17.0,25.0
69721,2016,3600,6.0,4.0,290.0,260.0,10.2,4.0,24.0,19.0,17.0,25.0
69722,2016,3600,6.0,4.0,290.0,260.0,10.2,4.0,24.0,19.0,17.0,25.0
69723,2016,6400,8.0,2.0,470.0,465.0,10.9,4.0,19.0,15.0,13.0,25.0
69724,2016,2000,4.0,4.0,158.0,141.0,10.5,4.0,27.0,24.0,22.0,14.0
69725,2016,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69726,2016,2000,4.0,4.0,158.0,141.0,10.5,4.0,27.0,24.0,22.0,14.0
69727,2016,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69728,2016,2000,4.0,4.0,158.0,141.0,10.5,4.0,30.0,26.0,23.0,14.0
69729,2016,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69730,2016,2400,4.0,4.0,172.0,165.0,10.5,4.0,28.0,23.0,21.0,14.0
69731,2016,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,23.0,21.0,14.0
69732,2016,2000,4.0,4.0,158.0,141.0,10.5,4.0,30.0,26.0,23.0,14.0
69733,2016,2400,4.0,4.0,172.0,165.0,10.5,4.0,27.0,24.0,22.0,14.0
69735,2016,3600,6.0,4.0,285.0,260.0,10.2,2.0,21.0,18.0,17.0,19.0
69736,2016,3600,6.0,4.0,285.0,260.0,10.2,2.0,21.0,18.0,17.0,19.0
69737,2016,3600,6.0,4.0,285.0,260.0,10.2,2.0,21.0,18.0,17.0,19.0
69738,2016,3600,6.0,4.0,285.0,260.0,10.2,2.0,21.0,18.0,17.0,19.0
69739,2016,3600,6.0,4.0,285.0,260.0,10.2,2.0,21.0,18.0,17.0,19.0
69740,2016,3600,6.0,4.0,285.0,260.0,10.2,4.0,21.0,18.0,16.0,23.0
69741,2016,3600,6.0,4.0,285.0,260.0,10.2,4.0,21.0,18.0,16.0,23.0
69743,2016,3600,6.0,4.0,285.0,260.0,10.2,4.0,21.0,18.0,16.0,23.0
69744,2016,3600,6.0,4.0,285.0,260.0,10.2,4.0,21.0,18.0,16.0,23.0
69745,2016,3600,6.0,4.0,285.0,260.0,10.2,4.0,20.0,18.0,16.0,23.0
69746,2016,3600,6.0,4.0,285.0,260.0,10.2,4.0,21.0,18.0,16.0,23.0
69747,2016,3600,6.0,4.0,285.0,260.0,10.2,4.0,21.0,18.0,16.0,23.0
